campaign_id,year,season,goal,channel,variant,angle,audience_type,impressions,clicks,spend,conversions,ctr,cpc,cpa,conversion_rate,roas
med-2009-formentera,2009,summer,Awareness,Instagram,A,lifestyle,prospecting,400000,7600,2584,137,1.9,0.34,18.9,1.8,2.1
med-2009-formentera,2009,summer,Awareness,Instagram,B,product-led,prospecting,400000,4400,1320,141,1.1,0.30,9.4,3.2,3.0
med-2014-santa-clara,2014,summer,Awareness,Instagram,A,music-culture,prospecting,450000,9450,2930,151,2.1,0.31,19.4,1.6,2.0
med-2014-santa-clara,2014,summer,Awareness,Instagram,B,lifestyle,prospecting,450000,8100,2754,138,1.8,0.34,20.0,1.7,2.1
med-2016-little-things,2016,summer,Awareness,Instagram,A,emotional-narrative,prospecting,500000,10000,3000,190,2.0,0.30,15.8,1.9,2.3
med-2016-little-things,2016,summer,Awareness,Instagram,B,lifestyle,prospecting,500000,8500,2890,145,1.7,0.34,20.0,1.7,2.0
med-2017-life-of-us,2017,summer,Awareness,Instagram,A,emotional-narrative,prospecting,480000,8640,2851,147,1.8,0.33,19.4,1.7,2.2
med-2017-life-of-us,2017,summer,Awareness,Instagram,B,product-led,prospecting,480000,5280,1478,169,1.1,0.28,8.8,3.2,3.2
sustain-2018-pack-rings,2018,year-round,Awareness,Instagram,A,purpose-sustainability,prospecting,520000,8840,3182,97,1.7,0.36,32.7,1.1,1.4
sustain-2018-pack-rings,2018,year-round,Awareness,Instagram,B,emotional-narrative,prospecting,520000,9880,3458,158,1.9,0.35,21.9,1.6,1.8
med-2020-act-iii,2020,summer,Awareness,Instagram,A,purpose-sustainability,prospecting,460000,7360,2797,96,1.6,0.38,29.2,1.3,1.6
med-2020-act-iii,2020,summer,Awareness,Instagram,B,emotional-narrative,prospecting,460000,8280,2898,149,1.8,0.35,19.4,1.8,2.0
product-2022-cold-crisp,2022,summer,Sales,Instagram,A,product-led,prospecting,380000,3800,1026,175,1.0,0.27,5.9,4.6,4.1
product-2022-cold-crisp,2022,summer,Sales,Instagram,B,lifestyle,prospecting,380000,6080,2067,140,1.6,0.34,14.8,2.3,2.4
retarget-2023-terrace,2023,summer,Sales,Instagram,A,product-led,retargeting,120000,1440,360,78,1.2,0.25,4.6,5.4,4.6
retarget-2023-terrace,2023,summer,Sales,Instagram,B,emotional-narrative,retargeting,120000,1800,612,67,1.5,0.34,9.1,3.7,3.2
med-2025-summer78,2025,summer,Awareness,Instagram,A,emotional-narrative,prospecting,550000,12100,3509,242,2.2,0.29,14.5,2.0,2.5
med-2025-summer78,2025,summer,Awareness,Instagram,B,product-led,prospecting,550000,6600,1782,238,1.2,0.27,7.5,3.6,3.4
